Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Featured Image,Project Managers,Summary,Description,Photos
Aussie Broadband,aussie-broadband,677deb3115bf23d9b844424e,6764ce480fea74a61cc3a6d0,67fda4709f5e38222327655a,false,false,Tue Apr 15 2025 00:12:32 GMT+0000 (Coordinated Universal Time),Tue Aug 26 2025 10:20:43 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda299685b816acca8c9b3_1738213527118.jpeg,tim-bradbury,"With natural tones, greenery and flowing walkways, we installed flooring that complements Aussie Broadband’s vibrant, plant-filled workspace and fosters connection and wellbeing.",,https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf235b61ebfa7da291d48_1738213526164.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf235b6b337e224d9ef75_1738130048539.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf236eee3ca7f396edb04_1738130051626.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf23506fb9e7e8784fca5_1738130053453.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf235f0298bd6ba47dc01_1738130054075.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda299685b816acca8c9b3_1738213527118.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fdf235b5de9fd9c7bc9f99_Aussie%20Broadband.jpeg
JLL Melbourne,jll-melbourne,677deb3115bf23d9b844424e,6764ce480fea74a61cc3a6d0,677deb74ab5c1b4e00985c52,false,false,Wed Jan 08 2025 03:05:24 GMT+0000 (Coordinated Universal Time),Tue Aug 26 2025 10:20:52 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb561a16b5faec45660f_JLL_Melbourne_HighRes-6-1140x760.jpg,tim-bradbury,"Connecting heritage-inspired design with modern functionality, we're proud to deliver flooring that provides the foundation for a space balancing history, innovation, and sustainability.","<p id="""">JLL’s new Melbourne headquarters at the prestigious 101 Collins Street blends Melbourne’s history with bold, modern design.</p><p id="""">Spanning two levels, the space takes inspiration from Melbourne’s heritage in Flinders Lane, crafting a workspace that balances historical character with contemporary function and sustainability.</p><p id="""">Premrest was proud to play a key role in this project, installing the floors that provide the foundation for this dynamic office. The design called for finishes that could seamlessly link the polished charm of Collins Street with the gritty, industrious vibe of Flinders Lane, and we delivered flooring solutions that meet this brief while standing up to the demands of a busy commercial space.</p><p id="""">By blending warm and refined finishes with more industrial textures, the floors reflect the contrast between the city’s past and its forward-thinking present.</p><p id="""">The flooring plays a central role in client-facing spaces like the new ‘Business Lounge,’ a first for JLL. This area needed to feel welcoming and professional, and our flooring solutions helped create a space that elevates client interactions and leaves a lasting impression. For the team spaces, we focused on durability and comfort, ensuring the floors support productivity while still looking great.</p><p id="""">At Premrest, we’re all about making spaces work — and work well. For JLL’s headquarters, that meant installing flooring that could handle heavy foot traffic, align perfectly with the design vision, and provide long-lasting quality. From start to finish, we made it happen with a practical, no-fuss approach that delivered exceptional results.</p>",https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb57b3db477dc1c7a6b3_JLL_Melbourne_HighRes-32.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb561a16b5faec45660f_JLL_Melbourne_HighRes-6-1140x760.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb5617fa0aacefd8a982_JLL_Melbourne_HighRes-2.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56145a32714b6c5c48_JLL_Melbourne_HighRes-9.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56e2e9a7546ba2cd82_JLL_Melbourne_HighRes-10.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb5640f603ccabd29671_JLL_Melbourne_HighRes-12.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb568ffe7d59984f37bc_JLL_Melbourne_HighRes-13-1140x1520.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb568ffe7d59984f37b0_JLL_Melbourne_HighRes-14.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb560798ea27fd2c8074_JLL_Melbourne_HighRes-15.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56a3eb025e641f0948_JLL_Melbourne_HighRes-21.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb57b3db477dc1c7a6b6_JLL_Melbourne_HighRes-22.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56cf8addba7abed4ad_JLL_Melbourne_HighRes-23.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56e2e9a7546ba2cd93_JLL_Melbourne_HighRes-26.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56dd848613f1e7f577_JLL_Melbourne_HighRes-27.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb55de0a7bb66a76b684_JLL_Melbourne_HighRes-29.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56a3eb025e641f09ee_JLL_Melbourne_HighRes-31.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb5554b4070404568f88_JLL_Melbourne_HighRes-33.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb56eeb47b63866d4d19_JLL_Melbourne_HighRes-37.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb55e2e9a7546ba2cd6d_JLL_Melbourne_HighRes-40.jpg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/677deb551ee350601b92db96_JLL_Melbourne_HighRes-42.jpg
LinkedIn Sydney,linkedin-sydney,677deb3115bf23d9b844424e,6764ce480fea74a61cc3a6d0,67fda4de8cb9e7cc36b82686,false,false,Tue Apr 15 2025 00:14:22 GMT+0000 (Coordinated Universal Time),Tue Aug 26 2025 10:20:37 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4889f5e3822232771ed_IMG_8544.webp,tim-bradbury,"Crafted to reflect LinkedIn’s bold, community-driven space, our flooring brings warmth, movement and cohesion to every step — from herringbone walkways to feature staircases and gathering zones.",,https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc687ce04ede6c6daf_IMG_8519.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc6c29027ffbbd153f_IMG_8534.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc27af109276f8adc5_IMG_8538.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc2becb739e535cdc6_IMG_8541.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc8cfbb6bf2a737a0f_IMG_8544.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cc9b7d73fb2cf9cfd5_IMG_8549.jpeg; https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67fda4cce87d03fb87e570ce_IMG_8553.jpeg
