Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Sort Order
Article,articles,6786e6d86253fbe762d29f4a,6764ce480fea74a61cc3a6d0,6786e7bcd2ad235d1e6de75e,false,false,Tue Jan 14 2025 22:39:56 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:03:01 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:04:43 GMT+0000 (Coordinated Universal Time),1
Case Study,case-studies,6786e6d86253fbe762d29f4a,6764ce480fea74a61cc3a6d0,6786e7c9694a9e0dc44176bc,false,false,Tue Jan 14 2025 22:40:09 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:03:12 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:04:43 GMT+0000 (Coordinated Universal Time),2
Podcast,podcasts,6786e6d86253fbe762d29f4a,6764ce480fea74a61cc3a6d0,6786e7de2f26844defd6270b,false,false,Tue Jan 14 2025 22:40:30 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:03:23 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:04:43 GMT+0000 (Coordinated Universal Time),4
Webinar,webinars,6786e6d86253fbe762d29f4a,6764ce480fea74a61cc3a6d0,68198e749112ca5f6e5c610c,false,false,Tue May 06 2025 04:22:12 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:03:38 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:04:43 GMT+0000 (Coordinated Universal Time),
