Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Let's Talk Facilities,lets-talk-facilities,67a548f3fe9e8af775f5ae14,6764ce480fea74a61cc3a6d0,6854b1f2730be9e4e51edbc7,false,false,Fri Jun 20 2025 00:57:22 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:57:27 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:59:34 GMT+0000 (Coordinated Universal Time)
Let's Talk Sustainability,lets-talk-sustainability,67a548f3fe9e8af775f5ae14,6764ce480fea74a61cc3a6d0,685b29b545a9fa21ebd48094,false,false,Tue Jun 24 2025 22:41:57 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 22:41:59 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 23:26:19 GMT+0000 (Coordinated Universal Time)
Multi-site facilities,multi-site-facilities,67a548f3fe9e8af775f5ae14,6764ce480fea74a61cc3a6d0,67e3624d67fdacf09afeacf2,false,false,Wed Mar 26 2025 02:11:25 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:11:32 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:16:59 GMT+0000 (Coordinated Universal Time)
Partnerships,partnerships,67a548f3fe9e8af775f5ae14,6764ce480fea74a61cc3a6d0,67e3629aab0ea3532a41f80b,false,false,Wed Mar 26 2025 02:12:42 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:12:42 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:12:42 GMT+0000 (Coordinated Universal Time)
Sustainability,sustainability,67a548f3fe9e8af775f5ae14,6764ce480fea74a61cc3a6d0,67e362648448ffc80278d30a,false,false,Wed Mar 26 2025 02:11:48 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:11:52 GMT+0000 (Coordinated Universal Time),Wed Mar 26 2025 02:16:59 GMT+0000 (Coordinated Universal Time)
