Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Icon
Cleaning,cleaning,6764eea149f5de48821b30a9,6764ce480fea74a61cc3a6d0,6764eee211c76e105f273b9c,false,false,Fri Dec 20 2024 04:13:22 GMT+0000 (Coordinated Universal Time),Fri Dec 20 2024 04:13:33 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 23:10:47 GMT+0000 (Coordinated Universal Time),
Installs,installs,6764eea149f5de48821b30a9,6764ce480fea74a61cc3a6d0,6764ef3dd99af4f463521e36,false,false,Fri Dec 20 2024 04:14:53 GMT+0000 (Coordinated Universal Time),Fri Dec 20 2024 04:14:58 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 23:10:47 GMT+0000 (Coordinated Universal Time),
